Ticker,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
ABAT,-0.001595585870150493,0.0018827162851196293,-0.002529143849310687,0.014609210104819205,-0.013882462304990807,-0.0006989311557735623,0.014301905882744936,0.0045153247765664485,-0.03059639464433221,-0.020899055257340638,-0.009080014115253039,0.04087862113235061,0.024985154609141844,-0.02542744272256735,0.024479146849599998
ABEO,0.005550937450878668,0.035666965221307585,0.027436792885181097,0.01773374721832321,-0.0005876621653372704,0.016978985128075507,0.041965646541511525,0.0007729642692921735,0.02604042398704273,-0.02282549659137978,-0.019544539367942444,-0.0026127146195525667,-0.004599164938818708,-0.018098879328332297,-0.011900175052748744
ABTC,0.012211900699836098,0.012228521914265333,-0.026482489683765383,0.002228088339434182,-0.009675348084835379,-0.00845270951408858,0.016660525177559685,0.023866406781004094,0.03382064473105402,-0.01631172601610458,-0.004245606722725589,0.0230752702148221,0.022483759723563278,0.025390750866912858,0.05205837699935019
ABVC,0.0004920335377486492,-0.005677643096363458,-0.0023581376024724102,-0.010804722221511933,-0.006482053185243817,0.02031997693267385,0.029961719789420284,-0.002006267353221747,-0.0010781355191637099,-0.02196041931761092,0.004985337896501956,0.007697273312498119,-0.0034241735367893343,0.004013324095334444,0.023546503681622935
ACB,0.0024249579143728484,0.0207504656049112,-0.01427928764850094,-0.0017370943028094151,-0.00039575048346660643,0.0023555773176805687,0.04959211877512963,0.014406409328728676,0.021354861775346044,-0.017377763874429165,-0.005248521820755154,0.024900381202609213,-0.0027813599698213055,0.015110579984068537,0.02008915627512397
ACCO,-0.016323371106338164,-0.013527531913724756,-0.03035247058210192,0.007102202919853098,0.011566712002613772,-0.02413354440318577,0.031151775181812787,0.02572081459402997,0.00856134849924359,-0.014793348195499205,0.009821695158142485,-0.0005068882633380281,0.056012268471279804,-0.051506560760577455,0.01487912292560498
ACET,-0.010403748556936813,8.349714921619244e-05,0.0147667786725821,0.011012765466109903,0.004028739552376615,0.001481567019257628,0.03287891346471838,-0.013272369003591343,-0.011569014428853885,0.00562951788058985,-0.007754634954367809,0.03525603305840895,-0.002747947440324074,-0.032917634880754554,0.004321033427050879
ACH,-0.0027080822624593517,-0.029744316496140868,0.03842235744934096,-0.008931056967667123,-0.005685497248934615,-0.023294838935879258,0.017948357663934534,-0.0011536937843063585,-0.011900116934445381,-0.04243270344693538,-0.02347023668841685,0.002745860783024105,-0.012414970438876783,-0.025910397468025648,-0.014289262961534509
ACHV,-0.001961988953217388,0.011893802387120126,-0.0051190438700854345,0.003740085396870297,0.007574597136408168,-0.0032594930825165687,0.03499039045359057,-0.0015951736824508338,-0.010954609815367626,-0.027977778960298953,-0.03008030598464276,0.041597011537243836,-0.0037057639208228554,-0.03434863787588181,0.021410775322410373
ACIC,0.009508330552540436,0.02501908303389231,0.007828700684556905,0.014803700047348515,0.007972955695758935,-0.0037168148422612683,-0.0018037811079320077,0.010602284058807773,-0.0024700122110096288,-0.017437086129527157,0.030218115470280527,0.022615943935585168,-0.00819065155323693,-0.024340894017859972,-0.01891591059936235
ACNB,0.004056824362563066,-0.01068416944259585,0.019683845391052418,0.011541111900190856,-0.02493597461233619,0.031398098350048184,-0.029169068268569086,-0.03568681893502562,-0.020580957190500827,-0.00038891050539779036,-0.004399329542598713,-0.01234436845186455,0.04203991340289943,-0.042905300914577844,-0.017022747089889483
ACNT,0.0014047714278722576,0.010387455839909531,0.005015885282396461,-0.0038827381162248875,-0.0018180592098087775,0.014544113175037642,0.01925912578326627,-0.000940727180638349,0.01286073243528346,-0.030082640609880397,-0.05901150170523246,0.04338990109629078,-0.05201425533663493,-0.009380867780341359,0.006376547076039445
ACRE,-0.05642268791476625,0.000488313317085958,-0.0903632617505011,0.009896935814537152,-0.018548472311271103,-0.03319564292691815,-0.007651228645817617,-0.00842511322334939,0.0033112441262400528,0.007840262940945378,-0.005619765257556624,0.013045527956348042,-0.013431986003704113,-0.047547887931488064,0.0019662462142600833
ACRS,0.013733963210705113,-0.0001079444529274551,0.018650928167208616,0.000782813127426184,-0.019527909837065316,-0.02445387243157314,0.015122790205392356,0.022387099122692142,0.002628687100109079,0.03588882772693376,0.0005392540966349655,0.01618175737427594,-0.005843864608004118,-0.024023612970625222,0.013959210237772274
ACTG,0.008203175862299206,0.005322406796279397,-0.004495707280222878,-0.0018491212478867955,0.0029731380402774838,0.004940940357759482,0.013125281869414852,-0.03239386388535624,0.0008346888354459686,-0.019534409861499593,-0.013522153518704274,0.00783767908378177,-0.052989309332439546,-0.0027621393673720497,0.04219863831679527
AEC,-0.0012142517036596236,0.02813776914621339,0.0002351276734430083,-0.012558341384399178,0.008223102765527505,0.00012172692933902062,0.002518455269158743,0.034650029742815835,0.02189613359433607,-0.010560887580183961,0.005757241695016279,0.05365683116433095,0.021207605621416097,0.024257210963241398,0.03325358345954599
AEYE,-0.003178096323742498,-0.010630724866024333,0.006797670034098299,0.005352882712245282,0.021046773985819275,0.003428189993081813,-0.025480941034583007,0.018207997812730373,0.04652971566986184,0.021835613756083044,-0.0018690510704348698,0.00043912991936483764,0.04625931928884831,-0.007474711766493199,0.029886966870115904
AFBI,-0.01592521958570919,-0.002968168608904092,-0.037060644091647305,0.019049827936382747,0.012133519256481477,-0.00150787401080942,0.028525361324200096,0.0033623516842958504,0.061650535139629474,0.031632493727750705,-0.006019634871677598,0.007272270285006594,0.01847718426463614,-0.03514441884493554,0.009463877436986453
AGEN,-0.0002166958411726472,-0.0078001569389281045,0.008246931509585135,-0.00302955432372977,-0.003468964304645974,0.016512261664364425,0.019019896813054472,-0.012576412937453216,0.012165838736944623,0.0402731193869771,0.0351889911580397,0.01350934280475348,0.005012868608018781,-0.0207185716258202,0.015201193773803504
AGNT,-0.002500214317830962,-0.03116062784642589,-0.0029170015196760164,-0.013211497653261817,0.004278496093044582,-0.047009318167910936,0.0017444479647567273,0.008208296378502861,0.022625088495226924,-0.03291480831836357,0.03578453561492833,-0.0017444373746038145,-0.023687459576786047,-0.0014057022386481906,0.03215069584928007
AHG,0.006452306096379844,0.015555122844014077,0.005668574774350742,-0.008915142356570108,0.01683805732326308,0.023136168769719384,0.0004114571669647342,0.009079545968448163,0.03169344137357118,-0.024381017794704966,-0.0006541456340957985,0.01263199215507316,0.009140889528850556,9.825018799862646e-05,-0.0013141975038145218
AIFC,-0.0006801975931039193,0.0027829428058298456,-0.014342914392398088,0.014000817384150415,-0.015357355513541898,-0.004540302129612015,-0.0025033347470549447,0.02077166456796497,0.013100185710455129,-0.0018248613064871392,0.017170634559704596,0.008443271359634531,-0.01700315663890796,-0.02828969238533871,0.036702423262042
AIOT,0.016218733465780184,-0.0023527310729410597,-0.028646433983610865,0.00671825821012649,-0.003541527830487853,-0.0012473870140546723,-0.009504174629486443,0.020054174848883596,-0.0036067423787938665,0.004340843462535111,-0.025645546967580264,0.006045314353828885,0.014377654289585255,-0.02304879784349229,0.005063617640926731
AIRG,0.010424789384336254,-0.016573534026914374,-0.014442676466209363,-0.02229102689699692,-0.011345649613533874,0.015719699801183033,0.014239705016913143,-0.006017711462525758,0.03918510747511548,-0.009307020320253089,0.0006816897754643204,-0.040979734294634904,0.004875775559246636,0.016641689933333908,-0.030520981307906772
AIRT,0.00875967265758057,0.023940021666099747,-0.003976501918002409,-0.002147482295350233,0.025590472058494046,0.01896865460825417,0.02347832806123818,0.010917349083812408,-0.021098557417961766,-0.026841442054156388,0.004176999898169908,-0.016862005607819242,0.021171791123949405,-0.012270206619458723,0.01077614088682961
AIV,-0.0695005226622323,0.004975441464485075,-0.062214332521162215,0.01089989106162308,-0.0227542835751613,-0.00767151708423615,-0.021258385011898185,-0.06141824239761777,-0.059246001322968686,0.0312466988764185,0.017292518713052464,-0.003575663500595721,-0.038689111230372976,-0.02516502953942628,0.0407391361522218
AKBA,0.004434785408376055,0.020341148506109005,0.014817015611562743,0.0051083049355801,-0.008324099220762885,0.013809890767931664,0.006197799174290447,0.017353563190355623,0.06995550320682321,-0.030684797148833175,0.0021998247927040235,-0.02086159385968929,0.013064047793936488,-0.03551537699556728,-0.03037222836576283
ALCO,-0.003013512551482194,0.013826713438134089,0.02291745340924708,-0.020077349111603908,-0.027554681946760615,0.0006535881039709994,-0.02399576131695806,-0.011039321375908087,-0.0077952475422845,-0.035148524196939,0.021094415323222773,-0.001027885489205507,0.03701587993081218,-0.00774236235293711,-0.020140930309149055
ALDX,-0.009382032427336678,0.0072713902183023866,0.004777605467603929,-0.011124066919720958,0.010651454884248717,0.014519204393728901,0.04208834649029479,0.011283723158229772,0.0514477230902307,0.0178337686248808,-0.001970072002498305,0.03690503479689616,-0.00031295054255487016,-0.03353339411002265,-0.0005797772310702169
