Ticker,Robotics & AI,AI Infrastructure,Clean Energy,Cybersecurity,Defense,Fintech,US Infrastructure,Agribusiness,Critical Minerals,Water,Timber & Forestry
ABAT,-0.0944470209994026,-0.10826058201203433,0.22153390292388445,0.15103775298094754,0.19682458983054832,0.22651425947239032,-0.31324007181606817,-0.08946870769503219,0.5532090028308567,0.0768799541632032,0.3368295281914642
ABEO,-0.2575713568399891,-0.32495640661327857,-0.2998949862355255,0.1208092282100404,-0.12290207989976362,0.03411052087874198,-0.46369364983630296,0.024504924881730554,-0.007388174770068188,-0.20895317267916175,0.1461975011951778
ABTC,0.13295283450547504,0.12219657449252411,0.4265322821925303,0.13538971101134797,0.20905945481075813,0.35424855307964515,-0.21664690169871753,0.0860275104803441,0.4788700826251991,-0.08280538711508642,0.1787710918999221
ABVC,0.07413646635297363,-0.0950160643170503,0.46270858979237406,-0.22716690843818788,-0.059753151039717345,-0.19435293367322,-0.29989035843938533,0.22618986236169947,0.39448817855347684,0.057107183527363235,0.25331437011838265
ACB,0.057313782400468374,0.03881004289631077,0.3082428690709923,-0.05170787817970239,-0.08180127776793136,0.1650994827842766,-0.4110461376229789,0.03154131746598517,0.484403989388125,0.056014185486459596,0.3154267858020031
ACCO,0.2704810323951787,0.09476466150995264,0.06234296997740404,0.28049157872129465,0.4433503548131138,0.4503570289424405,-0.13310931479069382,0.11517623047694196,0.08283600007430454,0.17971937411636224,0.15444034566881204
ACET,-0.19498204114464704,-0.12894159598795327,0.06633896685765364,-0.0621310148321892,-0.06264837973248706,-0.058148227098181814,-0.3332828626127717,-0.027883241938829684,0.42682794436375965,0.3121937933175266,0.268482523652598
ACH,-0.14466185976002527,-0.2989020987327888,-0.05807913841468585,0.18670812886547808,-0.26729922717149457,0.0017908457179657395,-0.09682273600754035,0.11262488942081379,0.02008315719908885,0.09884648353273554,0.27834447714315663
ACHV,0.007610154307168375,0.016020204799315842,0.2910437189340702,0.14911257310429285,-0.0112878096747553,0.15512904021930982,-0.23631506270822022,0.09773438689310299,0.6303760723285964,0.22805464352895835,0.5265129293958769
ACIC,-0.1580091771982849,-0.5525700369409546,-0.23246712258244903,-0.5169394117818941,-0.09808434555606663,0.19180299184156377,-0.09078141064415965,-0.17022251601322647,0.2722854162915101,-0.027099573032642228,0.4309476857395954
ACNB,-0.09037581832552063,-0.09160643401605206,-0.2617467920261563,0.24410171289322344,0.2845603942129576,-0.1273006810404354,-0.02160555883252985,-0.20067529941998236,-0.287280960376176,-0.23194427496023523,-0.22825080960897534
ACNT,-0.19402944186256274,0.049790792015267676,0.2074988531382938,0.039303056605367294,-0.4179223627233979,-0.09489370624311239,-0.1079036275549193,-0.027043204204359014,0.46226115554098884,0.14066125238169291,0.3942420770019234
ACRE,-0.06751605173258955,0.36227397708285775,0.07448447357957358,0.005669758349778765,-0.1945656290613261,0.43809937589260084,0.028257569612280126,-0.2646602249323833,0.02469876167283532,0.23610770244215898,-0.07301877660407821
ACRS,-0.2164218161143467,0.06198257278591352,0.15067903721006745,-0.035526031564441146,-0.2761514290919998,-0.10033904753377695,-0.3335609902687025,-0.20680353745821142,0.08805953939727168,-0.1996465170442822,-0.36417053960618745
ACTG,-0.18498521347245184,-0.0869193293515402,0.3386388719163176,-0.2651805657331255,-0.4186963661819038,-0.06283968465299437,-0.0921689636227478,0.290390581377158,0.3656088263308655,-0.016332353762373818,0.21538099070044425
AEC,0.2350717067820296,0.034402506955580815,0.5185254568458828,-0.060785689367889605,0.30499122631649306,0.03027683188024758,0.11232736339351482,0.14027627048538852,0.7684421128708886,0.2674140013252661,0.44411620911559974
AEYE,0.25795954592977705,0.12479963889783151,0.13316157950331872,0.3040666908023964,0.6763812136924457,0.09480063321223975,0.2758068174819056,0.3183808713353674,0.12190505131048872,0.1734449639633053,0.0021759820454406846
AFBI,0.06546052452811484,0.28428955670798567,-0.02209720478751548,0.13763552235541696,0.1867085717179118,0.32088915872703166,-0.1889131985364831,-0.06398609709859342,0.017023037743517613,0.16569405143054222,-0.07672347875900333
AGEN,0.0022489684362222598,-0.0015249002923096294,0.2039668120605454,-0.4473559559361598,0.06842873023422394,-0.3417535006694288,-0.1664641173054826,-0.03604397502459808,0.1017125544696539,0.08629083506657335,-0.2721128774254127
AGNT,0.028279128324092455,-0.2782201954253179,0.3048401332251261,-0.3447137948633034,-0.20897483724386498,0.29853018962557054,0.10302308108573664,0.32592028322609934,0.20256671427066442,0.14709379066511155,0.23792868141265539
AHG,0.3194294736624891,-0.12113399791459539,0.17292268963724658,-0.03871567462239799,0.35116457962546843,-0.08740313800368905,0.20650207072689183,0.2347794451372402,0.41634073917549813,0.15895957272737082,0.5596417016453686
AIFC,-0.3193090086542427,-0.17898156715415708,0.21877649410053765,-0.3710723522011349,-0.23783319557885102,0.26229105235740824,-0.21692438736289638,0.01849344910534066,0.24893099242780495,-0.13479505066094455,-0.06099690524463523
AIOT,0.1756218251427356,0.4762745155078642,0.05928212787217938,0.47571977461970666,0.2107299620724889,0.30481938940537084,-0.06601141576509754,-0.27101722093091807,0.061438312881705315,-0.20248685180029638,-0.02806614005748647
AIRG,0.2265372535756807,0.2094344432910795,-0.15215534119341922,0.10811447263010243,-0.09399638518325494,-0.07755057085288285,-0.05221153632080199,-0.16007100875437213,-0.5630620410200804,-0.2609910088604381,-0.29008119485334133
AIRT,0.3727074547782025,-0.10342538245973736,0.03154789160282963,0.12586708883518227,0.4732906987081776,-0.005648631360659187,-0.038870870426386324,0.4433192054430011,0.1017532148305151,-0.04336986933927594,0.3373257627979658
AIV,-0.20822738368862548,0.17617398511832766,0.13627183138065027,-0.216460688135862,-0.22290179817285313,0.05877375920337744,0.08302674391663581,-0.02457734808212661,-0.0020283362589209857,0.1884045428754507,-0.23006890667477825
