rebalance_date,residualization,rppca,reference_and_candidate_fit,placebos_and_admission,forward_evaluation,placebo_forward_metrics,total
2021-12-31,0.20541390008293092,4.415776600013487,4.976414100034162,30.222715899930336,1.9346954999491572,1.6463118999963626,43.401342700002715
2022-01-28,0.20577190001495183,5.459828500053845,3.877005400019698,30.12900960003026,0.6527962000109255,1.3518174999626353,41.676243699970655
2022-02-25,0.21126270003151149,4.343215300003067,5.201581900008023,32.531699800048955,1.3471578999888152,2.979249899974093,46.61418959998991
2022-03-25,0.46658880007453263,7.460576000041328,6.540503899916075,31.36448550003115,1.2187828000169247,2.8475900000194088,49.89854900003411
2022-04-29,0.30187919992022216,5.934664700063877,6.8067782000871375,35.70780289999675,1.2812201000051573,2.205627999966964,52.237994999974035
2022-05-27,0.18928039993625134,4.907501299981959,4.779695900040679,31.937189100077376,0.7396273999474943,2.3702868999680504,44.923597599961795
2022-06-24,0.2660578000359237,5.294685799977742,7.903463099966757,33.85902829992119,1.1695092000300065,1.848091599997133,50.34085789998062
2022-07-29,0.2828682999825105,6.1982965000206605,5.892426299978979,28.5442206999287,1.1968490000581369,2.0547556000528857,44.169435600051656
2022-08-26,0.208940300042741,5.194334900006652,6.106213199906051,28.367863600025885,0.8169074999168515,2.4067559000104666,43.101032500038855
2022-09-30,0.19993580004666,4.862173900008202,5.594157100073062,40.51421310007572,1.109452600008808,2.3571447000140324,54.63709450000897
2022-10-28,0.26294529996812344,5.551265300018713,5.391046899952926,35.47494599991478,1.210804000031203,2.3401090999832377,50.231136100017466
2022-11-25,0.21075309999287128,6.9138150999788195,11.929296000045724,28.516071500023827,1.2184555999701843,2.3197895999765024,51.10820509993937
2022-12-30,0.23759050003718585,5.579664400080219,7.3091674000024796,32.61812330002431,1.3802040999289602,2.7088895000051707,49.83366360003129
2023-01-27,0.3033559999894351,6.186763199977577,6.456232000025921,32.57228090008721,1.188238100032322,2.5408717000391334,49.24776489997748
