ticker,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
ARKF,0.0068759372844962585,-0.04563849253166184,-0.07035779984328903,0.028609363314122033,-0.032349921036470324,-0.04190544124877351,-0.0027429158137657144,0.0014231396207460255,0.0500864074386285,-0.09710096155109485,0.02285166230317426,-0.005192833618682428,0.022663160631929417,0.01894529793107608,0.03372792780668842
BOTZ,0.03435590974262516,-0.04516541829523976,-0.040728526688676346,-0.06441950401595342,0.058430583836827525,0.00826844567398639,0.01178854143114138,-0.02916406973375891,0.00694468332952111,-0.01388917938475428,-0.02306519549313708,0.03225275925651392,0.04753359239651043,0.014549985010261637,-0.017465859556348266
CGW,-0.07770031398700859,-0.04319094345326791,0.002089757574180409,-0.07821918567943388,0.05303525483261185,0.02715460186653222,-0.007259433255429196,-0.007948820159368788,-0.000583165314455182,-0.043469948106391855,0.013474676826522338,0.061391072746943665,0.03795622250944173,0.03024770893193395,-0.01691748124426137
CIBR,0.002858901279411675,0.01340079086944277,-0.002620815867410954,0.027417949803850195,-0.007822979738039321,-0.06548092016985199,-0.04101266825472154,0.009159083849464882,-0.04378274329671434,0.009123171539477273,-0.11842993966942185,-0.06681316630918291,0.08132535275261923,-0.013491510920785314,0.019491069207963146
COPX,0.020293287826409507,0.025036926902454324,-0.013944424783332547,-0.04938060788916846,0.07457694111196463,-0.0034105489063817134,0.055843343689597404,-0.033881719320505176,-0.0013603284454305423,-0.05926962265022915,0.015673376607693617,0.10536219727972083,0.03487915755583162,-0.008503487580976707,0.06055083886420256
CUT,-0.015705332751664917,-0.03624115453552467,0.01777601578220275,-0.04796984088807389,0.08141665628273241,-0.014724869120219438,0.06684038537549152,-0.020656739743837117,-0.022532029947248348,-0.08465370400330983,-0.029360432895590587,0.0700877322837074,0.0156554484614005,-0.04241718429016016,0.04230698831961156
FINX,-0.024557789692656384,-0.050417534007727464,-0.044005011955182145,0.08216512388137137,0.01323452369300376,-0.08844148222063239,-0.02723894750176083,-0.011503252238680586,0.020976071137176783,-0.04839925231434308,0.01654482030307209,0.013755312968355308,0.05472579625605225,0.03672398959310744,-0.0003530555908904326
FIW,-0.07061820693038924,-0.044491885575033446,0.031498123015044045,-0.06228332436868591,0.08714151918103535,0.013913942756519247,-0.06008110873981755,-0.01343371876826077,-0.031228795317265395,-0.021685472087870354,-0.02628678099017097,0.06919184823423809,0.023564908089994268,0.012579762401536637,-0.005220181431191854
HACK,0.007966156991534887,0.025347120494036566,0.0015913993528798428,0.02396139846997871,-0.011833584934230736,-0.058451175279185474,-0.04449360149915982,0.005521524228562081,-0.028946556633348816,0.010365654696468985,-0.10232506715179829,-0.04341481829244547,0.0755078374068275,-0.00439480402616829,0.0016368909779924568
ICLN,-0.028476717135261904,0.018362380428598755,-0.00526130711275013,-0.0739570312428877,0.010589519948218672,-0.009714231958449015,0.022364845486703085,-0.003360897388252914,0.02093759881620373,-0.008637282264864826,-0.025643678201772626,0.06817746443577855,0.02060258772341557,0.004944086726873888,0.032266530475183575
IFRA,-0.07093261019845001,0.05031062476105694,-0.018267425844046375,-0.08802051772522079,0.02973702024943871,0.05859225235796159,-0.07485545046863458,-0.019444286629887588,0.01287514152553947,-0.06365758215302443,0.0016189203696538733,0.017177636640446612,0.047280365747799556,0.02320912518948031,0.015230681663880799
IGPT,0.03230663059095147,-0.00768169801171438,-0.03803885125819334,-0.025261768530459774,-0.004686535714427057,-0.04097069887975832,0.0009038812606041704,-0.0036331303474506846,-0.011537900540373267,0.05196690944454461,-0.060926699624326515,0.005086026907171888,0.04803058591375492,0.008541194613125774,-0.014489257348787345
IGV,0.01972815221606486,-0.018438472655890832,-0.02801254167045122,0.06645439811208051,-0.015002437977563517,-0.1266681113278578,-0.0710401419555933,0.004256632134593447,-0.04063806961589234,-0.053621084971705306,-0.06941197269783757,-0.024562331438311578,0.06939829467755458,0.029083002853387243,-0.032346797209397184
