rebalance_date,theme,ticker,weight
2021-12-31,Critical Minerals,FLXS,0.03333333333333333
2021-12-31,Critical Minerals,PACK,0.03333333333333333
2021-12-31,Critical Minerals,FF,0.03333333333333333
2021-12-31,Critical Minerals,BRT,0.03333333333333333
2021-12-31,Critical Minerals,MSC,0.03333333333333333
2021-12-31,Critical Minerals,RPAY,0.03333333333333333
2021-12-31,Critical Minerals,MITK,0.03333333333333333
2021-12-31,Critical Minerals,PAMT,0.03333333333333333
2021-12-31,Critical Minerals,VHI,0.03333333333333333
2021-12-31,Cybersecurity,EBMT,0.03333333333333333
2021-12-31,Cybersecurity,CABO,0.03333333333333333
2021-12-31,Cybersecurity,CHSCO,0.03333333333333333
2021-12-31,Cybersecurity,EBF,0.03333333333333333
2021-12-31,Cybersecurity,CBAN,0.03333333333333333
2021-12-31,Cybersecurity,FNRN,0.03333333333333333
2021-12-31,Cybersecurity,CFFI,0.03333333333333333
2021-12-31,Cybersecurity,TSBK,0.03333333333333333
2021-12-31,Cybersecurity,CFBK,0.03333333333333333
2021-12-31,Cybersecurity,RBB,0.03333333333333333
2021-12-31,Cybersecurity,LARK,0.03333333333333333
2021-12-31,Cybersecurity,SELF,0.03333333333333333
2021-12-31,Cybersecurity,OFIX,0.03333333333333333
2021-12-31,Cybersecurity,ULH,0.03333333333333333
2021-12-31,Cybersecurity,EVO,0.03333333333333333
2021-12-31,Cybersecurity,WSBF,0.03333333333333333
2021-12-31,Cybersecurity,RPD,0.03333333333333333
2021-12-31,Cybersecurity,VLGEA,0.03333333333333333
2021-12-31,Cybersecurity,HELE,0.03333333333333333
2021-12-31,Cybersecurity,EGHT,0.03333333333333333
2021-12-31,Cybersecurity,HWBK,0.03333333333333333
2021-12-31,Cybersecurity,SPOK,0.03333333333333333
2021-12-31,Cybersecurity,FEIM,0.03333333333333333
2021-12-31,Cybersecurity,FCCO,0.03333333333333333
2021-12-31,Cybersecurity,INTG,0.03333333333333333
2021-12-31,Cybersecurity,PDLB,0.03333333333333333
2021-12-31,Cybersecurity,BOC,0.03333333333333333
2021-12-31,Cybersecurity,JOUT,0.03333333333333333
2021-12-31,Cybersecurity,MNSB,0.03333333333333333
2021-12-31,Cybersecurity,MLAB,0.03333333333333333
2021-12-31,Defense,BBDC,0.03333333333333333
2021-12-31,Defense,FBIZ,0.03333333333333333
2021-12-31,Defense,CBFV,0.03333333333333333
2021-12-31,Defense,OFIX,0.03333333333333333
2021-12-31,Defense,SELF,0.03333333333333333
2021-12-31,Defense,CABO,0.03333333333333333
2021-12-31,Defense,DGICA,0.03333333333333333
2021-12-31,Defense,LARK,0.03333333333333333
2021-12-31,Defense,BCAL,0.03333333333333333
2021-12-31,Defense,BBSI,0.03333333333333333
2021-12-31,Defense,CASS,0.03333333333333333
2021-12-31,Defense,NECB,0.03333333333333333
2021-12-31,Defense,WSBF,0.03333333333333333
2021-12-31,Defense,APOG,0.03333333333333333
2021-12-31,Defense,JMSB,0.03333333333333333
2021-12-31,Defense,EBF,0.03333333333333333
2021-12-31,Defense,HCKT,0.03333333333333333
2021-12-31,Defense,ISBA,0.03333333333333333
2021-12-31,Defense,NFBK,0.03333333333333333
2021-12-31,Defense,FCCO,0.03333333333333333
2021-12-31,Defense,CBNK,0.03333333333333333
2021-12-31,Defense,GHI,0.03333333333333333
2021-12-31,Defense,MHLA,0.03333333333333333
2021-12-31,Defense,TSBK,0.03333333333333333
