rebalance_date,theme,rank,actual_penalized_distance,null_alpha_distance,placebo_rank_pvalue,n_placebo_ranks
2021-12-31,AI Infrastructure,1,1.8065839356514517,1.159412531784797,0.8571428571428571,20
2021-12-31,AI Infrastructure,2,1.9211143810287468,1.2586447101253413,0.7619047619047619,20
2021-12-31,AI Infrastructure,3,2.0317132325434515,1.3705915896691103,0.8095238095238095,20
2021-12-31,AI Infrastructure,4,2.0895474298548917,1.4039602781797644,0.7142857142857143,20
2021-12-31,AI Infrastructure,5,2.1687858470810104,1.478386502698513,0.7142857142857143,20
2021-12-31,AI Infrastructure,6,2.1761437939910753,1.538799356569316,0.7142857142857143,20
2021-12-31,AI Infrastructure,7,2.1919979862960846,1.5547656738009195,0.6666666666666666,20
2021-12-31,AI Infrastructure,8,2.2772448250073287,1.5675303918860577,0.6666666666666666,20
2021-12-31,AI Infrastructure,9,2.285500687131732,1.584900699057474,0.6666666666666666,20
2021-12-31,AI Infrastructure,10,2.3621875833490833,1.6241857844937442,0.7142857142857143,20
2021-12-31,AI Infrastructure,11,2.4928365504496734,1.6873036231053784,0.7619047619047619,20
2021-12-31,AI Infrastructure,12,2.49422305625641,1.7147487793519547,0.7142857142857143,20
2021-12-31,AI Infrastructure,13,2.5483285885316898,1.7174782927249086,0.7142857142857143,20
2021-12-31,AI Infrastructure,14,2.555763950967227,1.7441407345481879,0.7142857142857143,20
2021-12-31,AI Infrastructure,15,2.5568927893805133,1.8607554968600788,0.6666666666666666,20
2021-12-31,AI Infrastructure,16,2.6006935414010606,1.865699393344742,0.7619047619047619,20
2021-12-31,AI Infrastructure,17,2.6599564644876335,1.9413914154599041,0.7142857142857143,20
2021-12-31,AI Infrastructure,18,2.66257960665949,1.8949118216364487,0.7,19
2021-12-31,AI Infrastructure,19,2.711541273250341,1.9376960594285644,0.65,19
2021-12-31,AI Infrastructure,20,2.771785595191642,1.9985840961785954,0.65,19
2021-12-31,AI Infrastructure,21,2.79370333585437,2.008821427592543,0.65,19
2021-12-31,AI Infrastructure,22,2.9180940592029248,2.0201082337569947,0.65,19
2021-12-31,AI Infrastructure,23,3.036475637685564,2.0383534652912436,0.55,19
2021-12-31,AI Infrastructure,24,3.17809461292272,2.062470820869583,0.6,19
