rebalance_date,theme_1,theme_2,median_relative_distance,minimum_relative_distance,maximum_cosine,median_cosine
2021-12-31,Robotics & AI,AI Infrastructure,1.4533566572373857,0.5866339105542203,0.7794249652568255,0.3230538189829229
2021-12-31,Robotics & AI,Clean Energy,1.3607061291965628,1.150048360200243,0.4557110753181328,0.12128037211809865
2021-12-31,Robotics & AI,Cybersecurity,1.329398511913888,1.087780412415353,0.2878110989983432,0.21788084147647396
2021-12-31,Robotics & AI,Defense,1.4823385147873875,1.241642217104905,0.07342242452562628,-0.012722598174221778
2021-12-31,Robotics & AI,Fintech,1.3294874224076145,0.97174694119064,0.29620115451035806,0.10643814387727579
2021-12-31,Robotics & AI,US Infrastructure,1.3544896828352881,0.895256616666744,0.5770523097012059,0.1092673617020695
2021-12-31,Robotics & AI,Agribusiness,1.120411820286744,0.8873447670381346,0.5247471995575574,0.29447819074380605
2021-12-31,Robotics & AI,Critical Minerals,1.3359715184156422,0.8673413830241646,0.5618392986171792,0.2952175632413617
2021-12-31,Robotics & AI,Water,1.35111715334005,0.8211684481805879,0.6266930543840669,0.11909166799731662
2021-12-31,Robotics & AI,Timber & Forestry,0.9027621596638408,0.7006574120762986,0.7164473059749338,0.6318315134014416
2021-12-31,AI Infrastructure,Clean Energy,1.2229178668833076,1.0077251687201534,0.28410384236824415,0.10455892835206823
2021-12-31,AI Infrastructure,Cybersecurity,1.299030771209882,0.6322390444224513,0.8237348768440572,0.1286917371411686
2021-12-31,AI Infrastructure,Defense,1.3123441835144287,1.0797750974391425,0.2084809256924561,-0.14548020911331816
2021-12-31,AI Infrastructure,Fintech,1.362908386125342,0.8183866691015191,0.6678653459881718,0.0
2021-12-31,AI Infrastructure,US Infrastructure,1.4662625061997,1.3185918744371834,0.2610998021825873,-0.0987398857228831
2021-12-31,AI Infrastructure,Agribusiness,1.4011238488796909,1.1376752244316888,0.293693137721968,0.0036878825200639524
2021-12-31,AI Infrastructure,Critical Minerals,1.338898247977623,1.0018443258292509,0.25355238037391437,0.011582899579765965
2021-12-31,AI Infrastructure,Water,1.432921920319756,1.2202254732868028,0.3290431249742158,0.12292024367502237
2021-12-31,AI Infrastructure,Timber & Forestry,1.199042350301697,1.1804981257026654,0.28235564127713886,0.22141766833363113
2021-12-31,Clean Energy,Cybersecurity,1.3396704153020962,1.243438738685351,-0.0930242126201808,-0.125797221699606
2021-12-31,Clean Energy,Defense,1.0356998625853853,0.9308725696808944,0.2562554468680816,0.15091467550142218
2021-12-31,Clean Energy,Fintech,1.3615819228626798,1.1819309337549015,0.3592356835511658,0.20596232826125743
2021-12-31,Clean Energy,US Infrastructure,1.1122313770805434,0.9480858325377033,0.4491249752171228,0.21484408882533162
2021-12-31,Clean Energy,Agribusiness,1.5253027111106492,1.3561760367122402,0.21063437468141835,-0.030511831230270365
2021-12-31,Clean Energy,Critical Minerals,1.577911937209008,0.7521989216070971,0.7887941542307282,0.08932385111503906
2021-12-31,Clean Energy,Water,1.2927483897621892,1.1610126335005568,0.6623069221326578,0.4720871855650653
2021-12-31,Clean Energy,Timber & Forestry,1.2679299728385818,1.2295628049633955,0.0956896321797437,0.08105256010800188
2021-12-31,Cybersecurity,Defense,1.1136806419984342,1.0651253277650403,0.4332349058198943,0.4221661170940696
2021-12-31,Cybersecurity,Fintech,1.1490118396425444,0.9442849178030059,0.5533890775500084,0.4580865562187497
2021-12-31,Cybersecurity,US Infrastructure,1.4662867708710412,1.4210990957695013,-0.10578233302418472,-0.13664225099843835
2021-12-31,Cybersecurity,Agribusiness,1.343639770075468,1.1920490891786155,0.3514416743317719,-0.05944414693305007
2021-12-31,Cybersecurity,Critical Minerals,1.527125810476109,1.312178091415295,-0.16664821576637148,-0.3019474720094478
2021-12-31,Cybersecurity,Water,1.4252991451737502,1.4051446921654198,0.0,-0.11311576915334717
2021-12-31,Cybersecurity,Timber & Forestry,1.4285606767908583,1.4073571874509316,0.09821692177153778,0.028293791179040323
2021-12-31,Defense,Fintech,1.1547519000030317,0.8816759646335456,0.40477931489234054,0.19033959910636603
2021-12-31,Defense,US Infrastructure,1.1153954856259478,0.9075815209245309,0.2299832637267691,0.16022802926983676
2021-12-31,Defense,Agribusiness,1.4901284213921027,1.325439837344071,0.2895476417658566,0.1356886294893315
2021-12-31,Defense,Critical Minerals,1.7010523239588984,1.177221240798035,-0.16520707160508644,-0.23018026184560533
2021-12-31,Defense,Water,1.4013751327981643,1.2795587934088668,0.0,0.0
2021-12-31,Defense,Timber & Forestry,1.4850152783102508,1.4204709086721397,-0.1114594816956489,-0.1352334841732285
2021-12-31,Fintech,US Infrastructure,1.439945747544265,1.2003434663045998,-0.06953334667679809,-0.14302577057260285
2021-12-31,Fintech,Agribusiness,1.4414756092910046,1.3076581001859382,0.19336592414770964,0.0
2021-12-31,Fintech,Critical Minerals,1.82120469633612,1.323219109336677,0.13465413227606743,0.025006097764546514
2021-12-31,Fintech,Water,1.378050977111228,1.1929567755634385,0.202779635947621,-0.0920595569492314
2021-12-31,Fintech,Timber & Forestry,1.5170918882436784,1.3504875011334685,0.1733233694141892,0.09115107515665438
